stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0.85,0,0,0,0,0,0,0.56,5.07,0,0,0,0.28,0,0,0,0,0,0
21Day,0.37,0,0,5.92,0,0,0,0,0.37,0,1.11,7.77,0.37,0,0,0.37,0,0,0,0,0,0
3Month,0.1,0.31,0.21,24.55,0.62,0,0,0.73,9.57,0.42,4.58,0.52,0.1,0,0.21,0.1,0.1,0.42,0.73,0.1,0.21,0.1
22Month,0.14,0.14,0.14,1.64,0.27,0.27,0,1.64,0.82,0,0.14,0,0,0.14,1.09,0,0.14,0.27,0.68,0,0,0
