stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Granulocyte,Hepatocyte,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell
24hpf,0,1,0,0,0,2,1,1,29,0,0
72hpf,0,0,0,0,0,0,0.28,0.56,2.25,0.28,0
21Day,0.37,0,1.85,0,0,0,0,0,1.48,0,0
3Month,0,0.1,0,0,0.1,0,0,0,0,0,0.21
22Month,0,0,0,0.14,0.14,0,0,0,0,0,0
