stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,41,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,16.63,0.28,0.56,0,0,0,0,0,0,0,11.56,0,0,0,0,0,2.82,0.28,0,0,0.85,0,0,0.28,0.28,0,0,0
21Day,0,0,21.09,0,0,0,0,0,0,0,0,0,4.44,0,0,0,0,0,1.11,0.74,0,0,0.74,0.37,0,0,0,0,0,0
3Month,0.21,0.31,20.91,0,0,0.31,0.73,1.77,0.52,0.1,0.62,0.42,21.53,0.73,0.31,0.1,0.1,0.21,0.1,0.1,0.21,0.1,0,0.1,0.62,0,0,0.31,0.21,0.42
22Month,0,0,6.97,0,0,0,0.14,1.64,0.27,0,0,0,9.7,0.41,0.68,0,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0
