stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,1,0,2,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0.56,0,0,0,0,0,0,0,0.28,0,0,0,0,0.56,0,0,0.28,0.28,0.85,0,0,0,1.97,1.69,0,0,0,0.56,0,0,1.41,0,0,0,0,0
21Day,0,0,0,0.37,0.37,0.74,0,0,0,2.59,0,0,0.37,1.11,4.44,0,0.37,0.74,1.48,1.48,0,0.74,0,2.22,0.74,0,0.74,0,0.37,0.37,0.37,0.74,0,0.74,0.37,0,15.91
3Month,0,0.62,0,2.7,0,0,0,0.1,0.52,34.74,0.21,0,3.12,41.4,0.83,0.21,0.42,1.35,3.43,1.56,0.1,0.73,0.52,1.04,0,0.21,1.98,0,0.21,0.31,1.14,1.56,0,0,0.42,0.31,32.66
22Month,0.14,1.37,0.14,1.23,0,0,1.23,0,0.55,103.58,0.41,0,5.06,13.25,0.55,0.27,0.14,0.68,4.78,1.78,0,0.14,0,0.68,0,0.41,1.09,0.41,0,0.14,0.41,6.56,0.14,0,0,0,9.7
