stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Spermatocyte,T_cell
72hpf,0,0,0,0.56,0,0,0,0,0,0,0.28,0,0.28,0,0,43.4,3.1,0,0,0.56,0.28,0,0,1.97,0.28,0,0
21Day,0.74,0,0,0.74,0,0,0,0,0.37,0,0.74,0,0,0,0.74,12.95,1.48,0,0,0.74,0,0.37,0,2.59,1.11,0,0
3Month,0,0,0,0.42,0.42,0.42,0,0.83,0.31,0.21,0.1,0,0.31,0.1,0,0.21,0.1,0.31,0,0,0,0.73,0,0.1,0,0.21,0.31
22Month,0,0.14,0.14,0.27,1.23,0.55,0.27,3.14,0.14,0.68,0.14,0.14,0.27,0.14,0,0.68,0,0.14,0.14,0,0,0.27,0.14,8.61,0,0,0
