stage,Endothelial_cell,Epithelial_cell,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
72hpf,0.28,0,0,0,0,0,0,0,0,0,0.28,3.1,0,0.28,0,0.28,0,0.28,0,0
21Day,0,2.22,0.37,0,0,0,0,0,1.85,0,0,1.48,1.11,0,0,0.74,0,0.37,0,1.85
3Month,0,1.35,0.1,0.1,0.52,0,0.52,0.31,0,0.52,0,0.21,0.1,0,0,0,0.1,0,0.42,0.73
22Month,0,0.55,0.14,0,0.55,0.27,0.55,0,0,0.55,0,0,0.41,0.41,0.14,0,0.14,0,0,0.55
