stage,Epithelial_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
21Day,0.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3Month,1.25,1.35,0.83,0,0.1,1.25,0.1,0.31,0.1,0,1.77,0.1,0,0.1,0.31,0.1,0.73
22Month,0.68,2.19,0,0.14,0,0.14,0.41,0.27,0,0.14,0.14,0,0,0.14,0.14,0,0
