stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,1,0,0,0,0,0,0,0,0
72hpf,0.28,0.28,0.28,0,0.28,0,0.28,0,0,0,0,0,0,0,0,0,0.56,0,0.28,0,11.84,1.69,0,0.56,0,0,0.28,0.28,0,0,0,0
21Day,0,0.37,1.85,0.37,0,0,0,0,0,0,0,0.74,0,0.37,2.22,0,2.59,0,0,0.74,3.33,1.48,0,2.22,0.37,0,0,0.74,0.74,0,0,0
3Month,0,0.31,2.08,0,0,0,0,0.21,0,0.83,0.1,0.21,0.21,0.21,1.77,0,1.66,0.21,0,0.21,0,0,0.1,0.1,0.1,1.98,0.1,0,0,0.31,1.35,0.31
22Month,0,0.14,0.68,0,0,0.14,0,0.14,0.41,5.88,0,0,0.14,0.14,0.41,0.14,0.82,0,0,0,0,0,0.14,0,0,0.14,0.14,0,0,0,0,0
