stage,Epithelial_cell,Hepatocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell,Spermatocyte
24hpf,0,0,1,0,0,0,0
72hpf,0.28,0,0,0.28,0.28,0,0
21Day,1.48,0.37,0,0,0.37,0,0
3Month,0.21,0.1,0,0,0,0.1,0.21
