stage,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
72hpf,0,1.41,0,0,0,0,0,0,0,1.13,0,0,0,0,0,0,1.69,0.28,0,0,0,0,0,0
21Day,0,9.99,0.37,0.37,0,0,0,0,0,0.37,0,0,0,0,0.74,0,1.85,0.37,0,0.37,0,0,0,0
3Month,0,8.74,0,0,0.1,0.21,0.42,0.1,0.31,3.22,0.21,0.31,0.1,0,0.31,8.43,2.5,0,0.21,0,0.1,0.83,0.1,0.21
22Month,0.14,0.55,0,0,0,0.14,0.41,0,0.14,0.14,0,0,0,0.14,0,0.14,0.14,0,0,0,0,0.41,0,0.14
