stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Retinal_cell,Retinal_pigment_epithelial_cell
24hpf,0,1,0,0,0,0,0,0,1,4,0,0,0,0
72hpf,0.28,0,0.28,0,0,0,0,0,2.54,0.56,0.28,0,0.28,0.28
21Day,0.37,0.37,2.22,0.37,0,0,0.37,0,2.96,0.37,0,0,0,0
3Month,0,0,0,0.21,0.21,0.1,0,0.1,0,0,0,0.62,0,0
