stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,1,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,7,0,0,0,0,0,0,0,0,0
72hpf,0.56,0,0,0.56,0,0,0,0,0,0,0,0.56,0.56,0,0.28,0,0,0.85,0.85,0,0,0.85,0,0,1.13,0,0,0
21Day,0.74,0,0.74,0,0.37,0,0,0,0,0.37,0,0,0.74,0,1.11,0,0,0.37,0.37,0,0,0,0,0,0,0,0,0.37
3Month,0,0,1.04,0,0,0.1,0,2.29,0.52,0,0.31,0,0.31,0.1,0.21,0.1,0.31,0.21,0,0.1,0,0,0.1,0.42,0.1,0.1,0.1,0.21
22Month,0.14,0.14,0.55,0,0,0.41,0.14,3.28,0,0.27,0.14,0,0,0.27,0.27,0,0,0.27,0,0,0.14,0,0,0.55,0.14,0,0,0
