stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,2,0,5,0,0,1,0,0,0,0,0,0,2,1,1,5,0,0,2,23,0,1,0,0,0,0,0,0
72hpf,0.28,0.28,1.97,0.28,0,0,0,0,0,0,0,0,0.85,2.54,0,3.1,0,0,3.1,2.82,0.28,2.82,0,0,0.85,0.56,0,0
21Day,1.48,0,2.96,0,0,0.37,0,0,0,0,2.59,0,0,2.22,0.74,2.59,0.37,0,0.74,0.74,0,1.85,0,0,0.37,0.37,0,0.37
3Month,0,0.1,1.87,0,0,0,0.31,0,1.04,0.1,0,0.52,0.1,0.42,0.31,0.73,0,0.1,0.1,0,0,0.1,0.21,0,0,0,1.25,0.52
22Month,0,0.27,0.41,0,0.27,0.14,1.23,0.14,2.87,0.41,0.27,1.5,0.14,0,0,0.68,0.41,0,0.14,0,0,0,0,0.14,0.14,0,0.41,0.41
