stage,Endothelial_cell,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
72hpf,0,0.56,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0.28,0.28,0,0,0,0,0.28,0,0,0
21Day,0.37,2.22,0,0,0,0,0.37,0,0,0,0,0.37,0,0.37,0,0,0,0,0,0.37,0,0.74,0,0,0
3Month,0.83,32.04,0.31,1.04,2.08,0.83,0.21,1.35,2.08,1.14,0.42,0.94,0.21,0.1,12.79,0.1,0.1,0,2.18,0.21,0.73,0.21,0.31,13.21,0.42
22Month,0.41,5.74,0,0.55,2.46,0.14,0,0.27,0.14,0,0.14,0.27,0,0,0.27,0,0,0.55,3.28,0,1.23,0.41,0.14,0,0
