stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,54,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,6,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,17.47,0.28,0,1.41,0,0,0.28,0,0,0,0,0,0,0,0,0,0,1.13,0,9.58,0,0.28,0.28,5.64,3.95,0,0.28,3.66,0,0,0.85,0,0,0,0,0,0
21Day,17.39,0.74,0,2.22,0.37,1.85,0,0,0,0.37,0,0,0,0,1.48,0.37,0.37,1.11,0,13.69,0,0,3.33,3.33,1.11,0,0.74,1.85,1.85,0.74,0.37,0.37,0.37,1.11,0,0,0
3Month,0.21,1.14,0.1,2.18,0,0,0,0,0.21,2.5,0.1,0,5.82,0.62,0.31,1.14,0.1,0.73,0.83,4.99,1.04,0,0.31,0.21,0.1,0.1,0.62,0,0.42,0.94,0.1,0,0,0,0,1.35,0.52
22Month,0,1.37,0.14,0.96,0.14,0,0.14,0.27,0.14,2.19,0.82,0,17.9,0.68,0.27,0.55,0,0.14,1.09,5.88,0.27,0.68,0.27,0.14,0,0.27,0.14,0,0.14,0.55,0.82,0.14,0,0,0.14,0,0.41
