stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte
24hpf,12,2,0,16,1,3,0,0,1,1,0,0,0,1,17,10,40,0,0,21,329,0,9,0,0,0,0,2,0
72hpf,1.69,0,0,0,0.28,0.28,0.28,0,0,0,0,0,0.28,2.54,7.61,0,2.54,0.28,0,10.71,10.71,0.28,3.1,0.56,0,1.13,0,0,0
21Day,1.11,0.74,0,2.22,0,0.74,0.37,0,0,0,0,0,0,0.37,0.74,0,3.33,0,0,3.33,1.85,0.37,1.48,0.37,0.37,0.74,0.37,0,0
3Month,0.1,0,0,0.42,0,0,0,0.21,0,0,0.42,0.1,0,0,0.1,0,0,0,0.21,0,0,0.1,0,0,5.82,0,0,0,1.14
22Month,0,0,0.14,0,0,0,0,0,0,0,1.23,0,0.14,0,0,0.41,0,0,0,0,0.14,0,0,0,0.14,0,0,0,0
