stage,Endothelial_cell,Epithelial_cell,Goblet_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,T_cell
24hpf,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0
72hpf,0.28,0,0,0,0,0,4.79,0,0,0,0,2.54,0,0,0,0.56,0,0,0,0
21Day,0,0,0,0,0.37,0,0,0,0,0,0,0.74,0.37,0.37,0.37,0,0,0,0.74,0
3Month,0,1.04,0.42,0.94,0,0.21,0,0.31,0.1,0.31,0.21,14.98,0.1,0,0,0,0.1,0.31,0.62,0.21
22Month,0,0.14,0.14,0.96,0,0.14,0,0,0,0,0,0.14,0,0,0.14,0,0,0,0.14,0.14
