stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
21Day,0,0,1.11,0,0,0,0,0,0,0,0,0.37,0,0,0,0,0,0,0,0.37,0.37,0,0,0
3Month,0.1,0.21,2.08,0,2.5,0.1,0,0.83,0.21,0.1,7.39,0.31,0.31,0.21,0.1,0.21,0,0.1,0.1,0,0,0.21,0.21,0.31
22Month,0.27,0.68,2.87,0.14,0.96,0,1.37,4.51,0.41,0,9.57,0.27,0.27,0.14,0.41,0,0.14,0,0,0.14,0,0,0,0.14
