stage,Cardiomyocyte,Epithelial_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Radial_glia,Retinal_cone_cell
24hpf,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
72hpf,0,0.28,0,0,0,0.56,0,0.56,16.91,1.69,0,0,0.28,0.56,0
21Day,0.37,0,0,0.37,0,0,0,1.85,11.1,1.11,0.37,0.37,0,0,1.11
3Month,0,0.1,0.42,0,0.21,0.21,0.1,0,0,0,0,0,0,0,0
22Month,0,0,0.68,0,0.14,0.14,0,0,0,0,0.14,0,0,0,0
