stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,16,0,0,1,0,0,0,0,0
72hpf,0.85,0.28,0,0.28,0,0.28,0,0.28,0,0,0,0,0.28,0.85,0,2.25,0,0,10.71,5.64,0.28,0,0.56,0,0,0.56,0,0
21Day,1.48,0,0,2.22,0.37,1.48,0,0,0,0,0,0,0.37,1.11,0,3.33,0,0,4.44,4.44,0,0,1.11,0.74,0,0.74,0,0.37
3Month,0,0,0.1,0.52,0,0,0,0.31,2.08,0,0.1,0.21,0.1,0.52,0.52,0.21,0,0.21,0.1,0.1,0,0,0,0,0.62,0,0.21,0.1
22Month,0,0.14,0,0.27,0,0,0.14,0.27,3.55,0.14,0,0.14,0,0.14,0.27,0.14,0.14,0,0,0,0,0.14,0,0,0,0,0,0.27
