stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0.28,1.41,0.28,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0,0,5.36,0.28,0,0,0,0,0,0,0,0,0
21Day,0.74,0,1.48,1.11,0,0,0,0,0,0.37,0,0.37,0.37,0,0,0,0,0,0,0,1.11,0,0,0,0.37,0,0,0.37,0.37,0,0
3Month,0,0,1.35,0,0,0.31,0.21,0.1,0,1.77,0.31,0.52,0.1,0.31,0.21,0.73,0.21,0,0.31,0.1,0.1,0,0.1,0,0,0.94,0.1,0,0,0.31,0.1
22Month,0.14,0.55,0.96,0,0,0,0.14,0.41,0,7.79,0.41,0.41,0,0.27,0.27,1.23,0,0.27,0,0,0.14,0,0,0.14,0.14,0.27,0,0,0,0,0.27
