stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,T_cell
24hpf,1,0,0,1,0,0,0,0,0,0,0,6,78,0,4,0,0,1,9,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,0.56,0.28,0,0,0,0.28,0,0,3.95,1.97,0,0,0.28,0,11.27,1.13,0,0,0,0,0,0,1.13,1.13,0
21Day,0,0,0,4.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0.74,0,0,0,0.37,0,0,0,0,0,0
3Month,0,0.1,0,1.66,0,0.21,0,0,0.73,0.1,0,0.1,0.42,0.1,0,0.1,0.1,0,0,0,0,0,0.1,0.73,0,0,0,0.1
22Month,0,0.14,0.41,1.09,0,0.55,0.14,0.27,2.87,0.14,0.14,1.23,0.41,0.41,0.14,0,0,0,0,0.27,0.55,0,0,0.68,0.14,0,0,0
