stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,3,0,0,0,0,0,0,4,0,0,13,0,0,1,36,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0.85,1.41,0,0,0,0,0,0.56,1.69,0,2.25,0,0,5.64,6.76,0,0.28,0.85,0,0,5.07,0,0,0,0
21Day,0,0,1.48,5.18,0,0,0,0,0,1.11,0.37,0,2.96,0.74,0,5.18,2.59,0,0.37,2.96,0,0,0.37,0,0,0,0
3Month,0.21,0.1,2.81,0.21,0.42,0.21,1.87,0.31,0.42,0.31,0.21,0.31,0,0.42,0,0.42,0,0.1,0.1,0,0.31,1.14,0,0.1,0.31,46.39,0.31
22Month,0,0,2.32,0.14,0,0.27,4.51,0.55,0.55,0.55,0.41,0.68,0.68,0,0.14,0.14,0,0.27,0,0,0,1.09,0,0,0,0.41,0.27
