stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
72hpf,0,0.28,0,0.28,0,0.28,0,0,0,0,0,0,0,0.28,0.28,0.28,0.28,0,0.28,0,0,4.79,2.82,0.28,0.28,0,0.28,0.56,0,0,0,0,0
21Day,0.37,0,0,3.33,0.37,1.11,0,0,0,0,0.37,0,0,0.74,0.74,0.74,2.22,0,0,0.37,0,1.85,1.85,0,0.74,0.37,1.85,0,0,0.37,0,0,0
3Month,0,0.21,0.1,1.04,0,0,0.21,0.1,0.52,1.56,0.83,0,1.04,0,0.52,0.62,0.73,0,0,0.21,0.52,0.1,0,0.21,0,0.52,64.7,0,0,0,0.52,6.03,0.31
22Month,0,0.14,0.14,0.27,0,0,0,0,0.82,4.24,0.14,0.14,0.41,0,0,0.82,0.27,0.14,0.14,0.14,0.14,0,0,0,0,0,0.14,0,0.14,0,0,0,0.55
