stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,3,0,0,0,0,0,0,0,1,1,0,5,0,0,0,1,4,0,0,1,0,0,0,1,0,0,0
72hpf,0.28,0.28,0,0.85,0,0,0,0,0,0,0,0.56,1.41,0,1.97,0,0.28,0,5.64,1.13,0,0,1.97,0,0,0.56,0.28,0,0,0
21Day,0.37,0,0,2.96,0.37,0.37,0.37,0,0,0.74,0,0.74,1.11,0,1.11,0,0,0,1.85,2.96,0,0,0.74,0.37,0.37,0,2.22,0,0,0
3Month,0,0,0,1.04,0,0.42,0.1,1.14,0.31,0,0.83,0.1,0.1,0.1,0.31,0,0.21,0.1,0.1,0,0.21,0,0,0,13.21,0.1,0,0.1,9.05,0.1
22Month,0,0.14,0.14,0.55,0,0,0.27,14.89,0,0,1.37,0.14,0,0.41,0,0.82,0,0,0,0,0,0.14,0,0,0.96,0.14,0.14,0,0,0
