stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,69,1,0,0,0,0,0,0,0,0,0
72hpf,1.13,0.28,0,0.85,0.56,0,0,0,0,0,0,0,1.69,0,5.36,0,0,0,137.26,38.05,0,3.95,7.61,0,0,8.17,0,0,0,0
21Day,0,0,0,7.4,0.37,0,0,0,0.74,0,1.11,0,3.7,0,0.37,0,0,0.37,28.49,9.62,0,2.22,0.74,0.74,0,1.85,0.37,0,0,0
3Month,0,0.1,0.21,1.14,0,0,0.1,0.31,0.73,0.31,0.1,0.1,0.1,0.21,2.18,0.73,0,0.1,0.1,0.21,0.62,7.18,0.21,0.1,4.16,1.14,0,0.1,13.94,0.31
22Month,0,0,0,0.27,0,0.14,0,0.27,2.46,0,0,0.27,0,0.55,1.5,0.14,0.14,0,0.14,0,0.41,11.62,0,0,4.92,0.27,0,0,0,0.14
