stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,1.69,0,0,0,0,0,0,0,0,0,0,0,0.85,0,0.28,0,0,0,0,0.28,0,0,0,0,0,0.28,0,0,0,0,0,0,0,0
21Day,0,1.11,0,0.74,3.33,0,0,0,0,0,0,0.37,0,0.74,0.37,0,2.59,0,0.37,0,0,0,0,2.59,0,0,0,0,0.74,28.86,0,0,0,0.37,0,0,0,0
3Month,0.31,2.29,1.14,16.54,2.7,0.73,0.1,0.21,2.5,7.91,0.1,28.4,8.84,0.73,11.13,1.25,6.14,4.37,10.4,3.12,0.31,3.74,0.83,0.62,0.1,1.77,0.52,0,0.52,125.86,1.04,5.93,0.42,0,0.52,2.29,3.12,6.24
22Month,0.41,7.93,2.19,17.08,3.42,0.96,0.68,0,2.05,19.81,6.01,103.31,6.29,1.78,15.44,1.23,2.73,9.98,16.26,0.55,6.15,3.14,0,1.37,0.14,1.91,2.05,0.68,0.68,23.91,0,3.01,1.09,0.55,0,0.27,0,6.42
