stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cell,Spermatocyte,T_cell
24hpf,1,1,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,28,0,0,0,0,0,0,0
72hpf,0,0.28,3.38,0.56,0,0,0,0,0,0,0,1.41,3.1,0.28,2.25,0,0,0,10.15,7.05,0.56,1.41,0,0.56,0,0,0
21Day,0.37,0,8.14,0.74,0.74,0,0,0,0,1.48,0.37,0.37,2.96,0,1.85,0,0.37,0,1.48,2.22,0,1.48,0,0,0.74,0,0
3Month,0,0.1,0.52,0,0.1,0.52,0,0.73,0.21,0,0.31,0.1,0.1,0.1,0,0,0,0.1,0,0,0,0,1.66,0,0,0.42,0.31
22Month,0,0,0,0,0,0.14,0.27,0.82,0,0,0.14,0,0,0,0,0.14,0,0,0,0,0,0,0,0,0,0,0
