stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,1,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,3.38,0.56,0,2.82,0,0.56,0.28,0,0.28,0,0,0,0,1.41,7.05,1.13,5.36,0,0,0.28,0,454.9,38.33,1.69,2.25,5.64,0,0,0,5.07,1.13,0.28,1.13,0,0,0
21Day,1.85,0,0,1.48,0,3.33,0,0,0,0,0,0.37,0,0.37,0.37,0.37,1.48,0,0,0.74,0,112.85,6.66,1.11,0.37,0.37,2.96,0,0,0,0.74,0.74,0.74,0.37,0,1.48
3Month,0,0.21,0.21,1.66,0.62,0,0.1,0.31,0.21,0,1.98,0.62,0.62,0.21,0.73,0.42,0.83,0.1,0,0.21,0.21,11.44,0.1,4.26,0.31,0,0.42,0.1,15.81,0.1,0,0.1,0,0.1,10.71,0.1
22Month,0,0.55,0.14,0.68,0,0,0,0,0.96,0.68,4.78,0.14,0.41,0,0.14,0.55,1.37,0,0.14,0.14,0,11.34,0.14,6.15,0.41,0,0,0,3.14,0.41,0,0,0,0,0,0
