stage,Cardiomyocyte,Epithelial_cell,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Macrophage,Neural_cell,Pancreatic_cell,Primordial_germ_cell,Spermatocyte
24hpf,0,1,0,0,0,0,0,0,0,0
21Day,0.37,0,0,0,0,0,0.37,0,0,0
3Month,0,0.31,0.1,0.1,0.1,0.1,0,0.1,2.6,1.98
22Month,0,0.14,0.68,0,0,0,0,0,0.14,0
