stage,Endothelial_cell,Epithelial_cell,Goblet_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,T_cell
24hpf,0,2,0,0,0,0,0,1,0,1,0,0,6,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,1.13,0,0.28,0.28,0.56,0,0.28,0,0
21Day,0,0.74,0,0.37,0,0,0,0.37,0,0.37,0,0,1.48,0,0,0,0,0
3Month,0.1,0.1,0.1,0.83,0.1,0,0.21,0.1,0,0.21,0.1,0,0,0,0,0,0.31,0.1
22Month,0,0.14,0,2.19,0,0.14,0.14,0,0.14,0.14,0,0,0,0,0.14,0,0,0
