stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Granulocyte,Hepatocyte,Immune_cell,Ionocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell
24hpf,0,0,0,0,0,0,0,0,1,2,5,0,0,0,0,0,0
72hpf,0.28,0.56,0.56,0,0,0,0.28,0,6.76,74.41,5.64,2.25,6.76,0,2.25,0,0.28
21Day,0.37,0,0,0,0.37,0,0,0.37,6.29,14.06,0.74,1.85,0,0.37,0,0.74,0
22Month,0,0,0,0.14,0.82,0.14,0,0,0.14,0,0,0,0,0,0,0,0
