stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,1,17,0,2,0,0,0,0,0,0,0,0
72hpf,0.56,2.25,0,0,13.81,0,0,0,0,0,0,0,0,0,0.28,0,0,0.85,0,6.76,0,0,0,0,12.68,0.85,0,5.07,0,0,0,0.28,0.28,0,0,0
21Day,2.22,2.22,0,6.66,4.81,3.33,0,0.37,0,2.96,0,0,0,0.74,10.36,0,0.37,3.33,2.22,21.83,0,0,0.74,0,21.09,1.85,0,4.81,1.11,0.37,0.37,0,0,0,0,7.03
3Month,0,1.77,0.21,1.87,0,0,0,0,0,2.7,0,0,4.99,4.68,0.42,1.46,0.62,0.42,1.46,1.14,0.73,0,0.31,0.21,0.21,0,0.31,0,0.21,0.94,0.1,0,0,0.1,1.46,3.33
22Month,0,0.41,0,1.5,0,0,0.14,0,0.27,2.87,0.82,0,7.11,2.87,1.09,1.09,0,0,0.82,1.5,0.14,0.14,0,0,0.41,0,0,0,0.14,0.55,0.27,0,0,0,0,1.09
