stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.56,0,0.56,0,0,0,0,1.69,0.56,0,0,0,0,0,0,0.28,0,0,0,0,0,0
21Day,0.37,0,0,0.37,0,0,0,0,0,0,0,0,0,0,0,0,0,1.48,0,0,0,0,0,0.74,0,0,0,0,0,2.22,0,0,0.37,0,0,0.37,0.37
3Month,0.31,1.04,1.04,14.25,0.31,0.1,0.1,1.87,4.06,2.7,18.1,5.2,0.52,9.15,1.77,6.03,4.06,6.14,1.14,0.1,1.35,2.7,1.04,0.42,0.94,0.73,0,0.31,4.78,736.34,0.83,0.1,0,0,2.91,184.73,4.26
22Month,0,0.27,0.27,1.23,0,0,0,0,0.82,1.23,9.7,0.41,0,1.37,0,0,0.41,0.68,0.14,0.14,0.41,0,0,0,0.27,0,0.82,0.14,0.27,86.91,0.41,0,0,0,0.14,0.68,0.41
