stage,Epithelial_cell,Erythrocyte__Liver_,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neurosecretory_cell,Primordial_germ_cell,Retinal_cone_cell,T_cell
24hpf,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37,0
3Month,0.1,0,1.77,0,0.83,0,0.42,1.14,0.1,0,0,0,0.1,0,0
22Month,0.41,0.14,14.89,0.68,0.55,0.55,0,4.78,0,0.27,0.14,0.14,0.27,0,0.14
