stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
72hpf,2.25,0.56,1.41,0.28,1.41,0,0,0,0,0,0,0,0.28,3.66,0.28,1.69,0,0,0,0,218.71,21.14,3.38,0,0,2.25,0.56,0.28,0
21Day,0.74,0,0.37,0,0,0,0,0,0.37,0,0.74,0.37,0,0.74,0.74,1.85,0,0,0.37,0.37,48.84,3.7,1.48,1.48,0,0.37,0,0,0.74
3Month,0,0,0.42,0,0,0,0,0,0.73,0.1,0,0,0.1,0.1,0.1,0,0,0,0.21,0,0,0.1,0,0.1,0.21,0,0,0,0.1
22Month,0.14,0,0.14,0,0,0.14,0.14,0.27,2.6,0,0,0.41,0,0.14,0,0.14,0.14,0.27,0,0,0.14,0,0,0,2.05,0,0,0,0.14
