stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Hepatocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Radial_glia
24hpf,0,0,0,0,0,0,4,0,0
72hpf,0.28,0,0,0,0,7.05,1.13,0.56,0.28
21Day,0.37,0.37,0.74,0,0.74,4.81,0.37,0,0
22Month,0,0,0,0.27,0.14,0,0,0,0
