stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,2,0,55,0,0,0,0,0,0,1,0,0,0,0,17,49,2,6,0,1,0,0,2,26,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.69,0.28,0,19.73,0,0.56,0,0,0,0,0,0,0,0,0,7.33,93.57,0,5.64,0,0,0.28,0,9.58,6.76,0,4.51,0,0,0,0,0,1.69,0,0,0
21Day,2.59,0.37,0.37,110.63,0.37,3.33,0.74,0,0,0,0,1.11,0,2.22,0.37,11.84,68.08,0.74,38.48,0,0,0.74,0,8.51,1.85,0,3.33,2.96,0,0.74,0.74,0.37,1.48,0,0,0.37
3Month,0,0.42,0.21,22.05,0,0,0.1,0.1,0.73,0,0,2.7,0.31,0,1.35,1.14,10.4,0.42,15.08,0.94,0,0.52,0.42,0.21,0.31,0.21,0.1,0.21,1.04,0,0,0,0.1,0.1,0.52,0.52
22Month,0,0.27,0,3.83,0,0,0,0.14,0.82,0.41,0,8.61,0.27,0,0.55,0.82,2.73,0.68,19.95,0.55,0.41,0.55,0,0.14,0,0,0.14,0.14,0.14,0,0,0,0,0.14,0,0.27
