stage,Endothelial_cell,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Oocyte,Pancreatic_cell,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,1.13,0,0,0,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0.37,0,0,0,0,0,0,0,0,0,0
3Month,0.1,3.85,0.1,0.1,0.1,0,0.21,0.52,0.1,0,0,0.1,0.1,0,0.1,0.21,0.1,0.1
22Month,0,0.96,0,0.41,3.42,0.14,0.41,0,0.14,0.41,0.14,0,0,0.14,0,0,0,0
