stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,0.56,0.28,0,0,0,0,0,0,0,1.69,0.56,0,0.56,0,0,0,0,5.36,4.51,0,0,0,0,0.56,0,0,0,0
21Day,0.74,0,0.74,4.07,0.74,0,1.85,0,0.74,0,0.74,0.37,0,0,2.22,0.37,0,0,0,0,2.59,3.7,1.11,0,0.37,0,0.74,0.37,0,0,0
3Month,0,0.1,1.98,26.52,0,0.21,14.87,0.21,3.64,0.62,0.1,37.34,0.42,0.42,7.39,0.73,0.21,0,3.74,1.46,0.21,0,2.08,0,0.42,4.99,0,0,0.31,0.73,0.42
22Month,0,0.14,0.27,5.6,0,0.14,3.83,0.41,6.7,0,0,28.97,0.14,0.55,1.78,0.27,0,0.27,1.09,0,0,0,2.32,0.14,0,1.09,0,0,0,0,0.27
