stage,Epithelial_cell,Hepatocyte,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Osteoblast
72hpf,0.28,0,0,0,0,0
21Day,0,0,0,0.37,1.85,0.37
3Month,0.1,0.21,0,0,0,0
22Month,0,0.68,0.14,0,0,0
