stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
21Day,0.37,0,0,0,0,0,0,0,0,0,0,0,0.37,0,1.85,0,0,0,0,0,0.37,0,0,0,0,0
3Month,0,0.31,0.1,8.11,0.1,0.21,0.62,0.42,9.67,0.31,6.14,0.94,1.46,1.25,13.31,3.74,0.1,0.31,0.1,0,0.21,0.1,1.14,0.21,0.52,0.52
22Month,0,0,0,0,0,0,0,0,0.96,0,0.82,0,0,0.14,0.14,0,0,0,0,0.14,0,0,0,0,0,0
