stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,1,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0
72hpf,0,0,0.28,0,0,0.28,0,0,1.13,0,0.56,0,0,0,0.56,0,0,0,0
21Day,0.37,0,0.37,0,0,0,0,0,1.11,0,1.11,0,0,0.37,0,0,0,0,0.37
3Month,0,0.1,0.73,0.1,0.21,0,0.21,0.1,0.21,0.21,0.1,0,0,0,0,2.6,0.21,3.54,0
