stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Goblet_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0.28,0.28,0,0,1.41,0,0,0,0,0,0,0,0,0,0
21Day,0.37,0.37,2.22,0.37,0,0,0,0,0,1.48,0.37,0,0.74,2.59,0,0,0,0,0.37,0,0,0,0,0
3Month,0,0,6.76,0,0.1,0.1,0.21,0.42,0.1,2.6,1.04,0.21,0.21,0,0.1,0.1,0.21,0,0,0,0.31,0,0.1,0
22Month,0,0.27,0.55,0,0,0.14,1.09,0,0,0.27,0.96,0,0,0,0,0,0.14,0.14,0,0.14,0,0.14,0,0.14
