stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,8,5,0,3,4,2,0,0,0,0,0,0,0,2,2,0,9,0,0,0,0,3,44,0,0,3,0,0,0,0,1,0,0,0
72hpf,1.41,2.54,0,0.28,0,0.56,0,0,0,0,0,0.28,0,0,1.41,0,4.23,0,0,0.28,0,1.41,3.38,0,0,1.97,0,0.28,0,0.28,0.56,0,0,0
21Day,3.7,0.37,0,0,0.74,0.74,0,0,0,0.37,0,0.37,0,0,2.59,0,4.07,0,0,0,0,0.74,0.74,0,0,1.85,0,0.74,0,0,0,0,0,0
3Month,0.21,2.81,0.1,1.87,0,0.83,0.1,0.73,0,3.54,0.94,0.21,1.35,0.21,0.62,0.42,2.08,0.73,0,0.83,0.73,0.52,0.1,0,0,0.1,0.62,66.99,0.1,0,0.1,0.31,3.95,0.52
22Month,0.14,0.68,0.14,0.55,0,0.41,0.41,0,0.41,9.7,0.41,0.27,1.78,0,0,1.23,3.42,0,0.41,0,0.14,0.14,0.14,0.14,0.14,0.14,0,17.35,0,0,0,0,0,0.27
