stage,Endothelial_cell,Epithelial_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Keratinocyte,Mesenchymal_cell,T_cell
21Day,0,0,0,0.37,1.85,0,0,2.22
3Month,0,0.62,0.42,0,0.1,0.21,0.1,1.77
22Month,0.14,0,0.14,0,0,0.14,0.14,0.14
