stage,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythroid_progenitor_cell,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
72hpf,0,0,0.28,0,0,0,0,0.56,0,0,0.56,0.28,0,0,0,0,0
21Day,0,0,0,0.74,0,0.37,0,0.37,0,0,0,0,0,0.37,0.37,0,0
3Month,0.1,0.52,0,0,2.39,0.21,0.1,0.21,0,0,0,0,0.1,0,0.1,0.42,0.1
22Month,0,0.14,0,0,3.83,0.27,0,0,0.14,0.27,0,0,0,0,0,0.14,0
