stage,Enterocyte,Epithelial_cell,Erythroid_progenitor_cell,Hepatocyte,Ionocyte,Keratinocyte,Macrophage,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia
24hpf,0,5,0,0,2,59,0,0,0,7,0,0,0
72hpf,0,0.56,0,0,0.28,21.14,0,0,0.85,0,0.28,0,0.28
21Day,0,12.95,0.37,0.37,0,7.03,0,0.37,1.11,0.37,0.37,0.37,0
3Month,0,2.29,0,0.21,0,0.21,0.1,0,0,0,0,0,0
22Month,0.27,0.27,0,0,0,0,0,0,0,0,0,0,0
