stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,4.23,0.56,0,0,0,0,0,0,0,0
21Day,0,0,1.11,0.37,0,0,0,0,0,0,0,0.74,0,0.74,0,0,8.51,0.37,0,0,0.74,0.37,0,0,0,0
3Month,0,0.21,4.06,0,0.1,0,0.62,3.22,0.21,1.14,0.1,2.39,0.21,0.83,0.1,0.21,0.31,0,0.21,0.1,0.83,66.36,0,0.21,15.29,0.21
22Month,0.14,0,0.27,0,0,0.27,0.27,2.46,0,0.55,0,0,0.27,0.14,0,0,0,0,0.27,0,0,10.25,0.27,0,0,0.14
