stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0.56,0,0,0,0,0.28,0,0,0,0,0,0
21Day,0,0,0.37,0,0,0,0,0,0,0,0,0,5.92,0,0,0,0,0,0.37,0,0,0,0.37,0,0
3Month,0.1,0,4.47,0.1,0,0,0,0.31,0.21,0.1,0.21,0,1.56,0.1,0.31,0.1,0,0,0,0,0,0.73,0,0.1,0.1
22Month,0,0.55,10.93,0.14,0.14,0.14,0.55,4.78,0.14,0.14,0.68,0.14,4.65,1.37,0.55,0,0.27,0.14,0.14,0,0.14,0.55,0.14,0,1.78
