stage,Endothelial_cell,Epithelial_cell,Granulocyte,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Radial_glia
24hpf,0,0,0,0,0,0,0,1,0,0
72hpf,0.28,0.56,0,0,0.28,0.28,13.53,2.54,0,0.28
21Day,0.37,1.11,0.37,0,0,0,11.47,1.11,1.11,1.11
3Month,0,0.1,0,0,0,0,0,0,0.1,0
22Month,0,0.14,0,0.14,0,0,0,0,0,0
