stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0,0,0.28,0,0,0,0
21Day,0.37,0,0,0.74,0,0.37,0,0,0,0.37,0,0,0,0,0,0,0,0.37,0,0,0.37,0,0,0,0,0,0,0,0,4.81,0,0,0,0.74,0
3Month,0.31,0.62,0.21,8.22,0.1,0,0.31,1.14,2.08,0.1,13.31,3.54,0.31,4.78,0.94,2.91,1.46,2.81,0.42,0,0.73,1.46,0.94,0,0.62,0.31,0.31,3.43,0.1,298.74,0.1,0.1,2.29,406.39,3.54
22Month,0,0.27,0,0.41,0,0,0,0,0,0.27,47.28,0,0,0.96,0,0,0.14,0.82,0.14,0.27,0.14,0.14,0,0,0,0,0.41,0.27,0,51.24,0.14,0.14,0,1.91,0.27
