stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,6,0,0,1,0,0,0,0,0,0,0
72hpf,0.85,0,1.41,0.56,0,0,0,0,0,0,0,0,0,0,0.28,2.54,0.28,1.97,0,0,0,0,1.41,2.25,0,0,2.25,0.28,0,1.41,0,0,0,0
21Day,1.85,0.74,3.33,0.37,0,0,0,0,0,0,0,0,0,0,0,0,0,4.44,0,0,1.48,0,0.37,0,0,0,0.74,0,0,0,0.37,0,0,0
3Month,0,1.98,7.39,0.1,0,0.1,0.1,0.1,1.56,0,3.54,0.21,0.31,1.35,0.31,2.08,2.91,4.16,1.04,0,0.31,0.52,0.42,0,0.21,0.31,0.21,0.42,2.39,0.31,0,3.12,1.04,0.21
22Month,0,0.55,2.05,0,0.27,0,0,0.27,1.5,0.14,5.19,0.41,0.14,0.55,0.14,0,1.23,1.78,0,0.14,0,0,0.14,0,0,0,0,0,0.14,0.14,0,0.14,0,0
