stage,Epithelial_cell,Hepatocyte,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Neural_cell,Neurosecretory_cell
72hpf,0.28,0,0,0,0,2.25,0.56
21Day,0,0,0,0,0.37,1.48,0
22Month,0,0.14,0.14,0.14,0,0,0
