stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Primordial_germ_cell,Retinal_cone_cell,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
72hpf,0,0,0,0.28,0,0,0,0,0,0,0.85,0,0,0.28,0,5.92,0,0,0,0,0
21Day,0,0.37,0,0.37,0.37,0,0.37,0,0.37,0,0,0.74,0.37,0.37,0,4.44,0.37,0,0,0.74,0
3Month,0.1,0,0.31,0,0,0.21,3.33,0.31,0,0.21,0.73,0.1,0,0.1,0.1,0.21,0,0.21,0.73,0,0.42
