stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Granulocyte,Hepatocyte,Immune_progenitor_cell,Macrophage,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Oocyte,Primordial_germ_cell,Radial_glia,Spermatocyte
24hpf,0,0,0,0,0,0,1,1,7,0,0,0,0,0
72hpf,0.28,0,0,0,0,0,0,3.66,0,0,0,0,0.28,0
21Day,0,0.37,0,0,0,0.37,0,1.48,0.37,0.37,0,0,0,0
3Month,0,0.1,0,0.1,0,0,0,0,0,0,0,2.29,0,0.31
22Month,0,0,0.14,0,0.27,0,0,0,0,0,0.14,0,0,0
