stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
72hpf,0.28,0.28,0.56,0.28,0,0,0,0,0,0,0.85,0,0.28,0,36.64,1.41,0,0.28,0,0,0.28,0,0.85,0,0
21Day,0,0,3.7,0.37,0,0.37,0.37,0.37,0,0,2.22,0,1.85,0,18.5,0.74,0.37,0,0.37,0,0,0.37,0.37,0,0
3Month,0,0,1.35,0,0,0.1,0.42,0,0.31,0.73,0.1,0.31,0.31,0.1,0.94,0,0.73,0,0.21,0.73,0,0,0.31,0.1,0.1
22Month,0,0.14,1.64,0,0.27,0.41,3.55,0.27,0.41,0.14,0.14,0.27,0.14,0,1.09,0,1.5,0.14,0,2.6,0.14,0.14,0,0,0.27
