stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,17,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,0.85,0.28,0.28,0,0,0,0,0,0,0,0,0.56,0,0.85,0,0,0,9.86,7.05,0.28,0,0.56,0,0,1.41,0.28,0.28,0,0,0
21Day,0.74,0,0,3.7,0,0,0,0,0,0,0,0,0.37,0,1.85,0.37,2.59,0,0,0.37,5.55,1.11,0,0,0.74,0,0,0.37,0,0.37,0,0,0
3Month,0,0.31,0.31,8.63,0,0,0.1,0.21,0.42,1.56,0.21,0,0.1,0.1,3.12,0.21,0.21,0.21,0,0.21,0.31,0,0.21,0,0,0.21,0.83,0.1,0,0,0.83,1.04,0.21
22Month,0,0.27,0.14,1.23,0,0,0,0.14,0.27,6.97,0.27,0.41,0.41,0,0.41,0.27,0.27,0,0.14,0,0,0,0.27,0.27,0,0.14,0.14,0.41,0,0,0,0,0.14
