stage,Epithelial_cell,Erythrocyte,Hepatocyte,Keratinocyte,Neural_cell
24hpf,1,0,0,0,1
72hpf,0,0,0,0.28,2.82
21Day,0,0.37,0,0,3.33
22Month,0.14,0,0.27,0,0
