stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,8.17,1.97,0,12.4,1.41,14.66,0.28,0,0.28,0.56,0,0,0.28,2.82,21.7,2.25,39.74,0.85,0,0.56,113.3,50.17,0.56,0.56,18.32,0.56,9.86,0.56,0.28,0.28,0,0.28
21Day,12.58,3.33,1.85,42.55,2.22,31.82,5.55,0.37,1.11,13.69,0.74,11.84,3.33,6.29,25.53,6.29,73.63,0.74,7.03,0.37,50.32,25.53,1.48,0.74,17.39,17.02,6.66,1.11,9.62,0.74,0.37,9.62
