stage,Epithelial_cell,Goblet_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Primordial_germ_cell,Spermatocyte
21Day,0.37,0,0,0,0,0.37,0,0
3Month,0,0.1,0.21,0.1,0.1,0,0.83,0.42
22Month,0,0,1.09,0,0.14,0,0.14,0
