stage,Cardiomyocyte,Epithelial_cell,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Smooth_muscle_cell,T_cell
24hpf,0,1,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0
72hpf,0.28,0.28,0.28,0,0,0,0,0,0,0.85,3.66,1.41,0.28,0.85,0,0,0
21Day,0,0.37,0,0,0,0,0,0.37,0.37,1.48,1.85,0.74,0,0,0,0,0.74
3Month,0,0,0,0,0.1,0,0.1,0,0,0,0,0,0,0,0.31,0.1,0
22Month,0,0,0,0.14,0,0.14,0,0,0.14,0,0,0,0,0,0,0,0.14
