stage,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0
72hpf,0.28,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0.28,0,0,0,0,0,0.28,1.13,0,0,0,0,0
21Day,0,1.85,0,0.37,0,0,0,0,0,0.37,0,0,1.48,0,1.11,0,0,0.37,0,1.11,0.74,0,0,0,0.37,0,0.37
3Month,0,1.35,0.1,0.1,0.42,0.31,0,7.91,0.52,0,1.46,0.1,0.52,0.62,0.1,0,0,0.1,0.42,0,0,0,0.1,0.42,0,0.1,0.1
22Month,0,0.41,0,0,0.14,0,0.14,18.99,0.41,0,2.46,0,0,0.55,0.27,0.14,0.41,0.14,0,0,0,0,0,0.41,0,0,0
