stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,28,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0.56,3.38,0,0,0,0,0,0.28,0.28,0,0,0,0.28,0,0,0,0,0,0,0,0
21Day,0,0,0.37,1.48,0,1.11,0,0.37,0,1.48,0,0,0.37,3.7,0.37,0,2.22,8.88,1.11,0,0,0,0,0.74,1.11,0,0,0,0.37,0.37,0,0,0,0.37,0,0,1.48
3Month,0,1.14,0.62,4.78,0.1,0,0.52,0.52,2.7,32.66,0.1,2.29,20.6,2.91,6.03,0,0.94,27.98,3.12,0.83,0,0.1,0.42,0.1,0,0.42,0,0,0.42,0.31,0.1,1.98,0.1,0,0.62,9.57,12.17
22Month,0.14,2.05,0.55,3.14,0,0,0.55,0.27,1.91,57.94,1.64,6.83,4.92,4.51,8.06,0.14,0.82,67.91,4.92,0,0.27,0.41,0,0.14,0.14,0.82,0.41,0.14,0.55,0.14,0,0.82,0.41,0,0.41,0.14,4.37
